event,gender,competition,year,round_raw,lane,position,athlete,athlete,athlete,athlete,country,country,country,time_or_mark,reaction_time,reaction_time
200m,M,Olympics,2008,table_15,3,8,Marc Schneeberger,,,,Switzerland,,,21.48,0.156,
200m,M,Olympics,2008,table_16,8,1,Paul Hession,,,,Ireland,,,20.32,0.19,
200m,M,Olympics,2008,table_16,4,2,Wallace Spearmon,,,,United States,,,20.39,0.202,
200m,M,Olympics,2008,table_16,6,3,Jaysuma Saidy Ndure,,,,Norway,,,20.45,0.131,
200m,M,Olympics,2008,table_16,7,4,Rondel Sorrillo,,,,Trinidad and Tobago,,,20.63,0.164,
200m,M,Olympics,2008,table_16,5,5,Ramil Guliyev,,,,Azerbaijan,,,20.66,0.174,
200m,M,Olympics,2008,table_16,3,6,Visa Hongisto,,,,Finland,,,20.76,0.124,
200m,M,Olympics,2008,table_16,2,7,Thuso Mpuang,,,,South Africa,,,21.04,0.162,
200m,M,Olympics,2008,table_16,9,,Marvin Anderson,,,,Jamaica,,,DNF,0.187,
200m,M,Olympics,2008,table_17,7,1,Churandy Martina,,,,Netherlands Antilles,,,20.11,0.154,
200m,M,Olympics,2008,table_17,6,2,Brian Dzingai,,,,Zimbabwe,,,20.17,0.184,
200m,M,Olympics,2008,table_17,4,3,Walter Dix,,,,United States,,,20.19,0.161,
200m,M,Olympics,2008,table_17,3,4,Christian Malcolm,,,,Great Britain,,,20.25,0.181,
200m,M,Olympics,2008,table_17,5,5,Paul Hession,,,,Ireland,,,20.38,0.175,
200m,M,Olympics,2008,table_17,9,6,Christopher Williams,,,,Jamaica,,,20.45,0.217,
